	+samples in group 0	+samples in group 1	counts in group 0	counts in group 1	oddsRatio	lower	upper	fisherP	fisherAdjP	logFC	se	pvalues	adjPvalues
4cfd39842c1be76ac658ee44d2feee41	7	12	257	1091	0.189244087271099	0.0314374029579012	0.929381936914969	0.0227742433768453	0.533356710791619	2.52324764139376	0.972600323035761	0.00947750607665387	0.249495347467913
ec47fbbb5cef20382f9ea775fae4826d	8	12	64	444	0.232417463508415	0.0394025215356914	1.12972904608998	0.0485478668290489	0.570957435456739	2.51242179518637	0.790299818100876	0.00147746243466207	0.103795851568875
cf5e5bd74edafe46fce836e8d016b15a	8	2	383	5	4.4757522501046	0.69995778464352	51.2647481683283	0.132627723284008	0.723611360715339	-2.48706238450406	1.36590503201405	0.0686347592027423	0.519633837387887
3f23b19bac3ea3553b3f2666857b72cf	3	5	12	86	0.398902219024437	0.0512309707273443	2.53770060084206	0.421680655273536	0.814690026954178	2.45678862521187	1.27079149326768	0.0532024072471493	0.474577832467505
c2929d9d6596f1fb4485addbfaaede33	4	2	332	7	1.72371558058729	0.20891919890493	21.8056824257241	0.672244264274625	1	-2.42564204122329	1.60693399481817	0.131175000129399	0.519633837387887
0e7cff1baf52922dc32b72476f20c2ee	11	1	4104	3	16.898238038164	1.90040623693913	836.003179229047	0.00353448016210563	0.371642883060799	-2.35684376805212	0.626964684058733	0.000170503040257231	0.0227271157183388
06215e92a88b4c0bc04db4407f457b81	2	8	45	1178	0.118980294145179	0.0101253715298436	0.777497990654412	0.0112785690224675	0.456898038819128	2.33622626888159	1.54064781404189	0.129420219921793	0.519633837387887
8c5da13949c9b1c46451947ef7d940fc	6	4	67	499	1.27681401589468	0.23457236606686	7.71227332257268	1	1	2.29365744712702	1.2314706903612	0.0625276956287315	0.504397473093413
d4a81ce340bf13cf01b07205223bc997	3	2	10	75	1.22813439290493	0.122088254312132	16.6474698491683	1	1	2.19790345764277	1.611318190023	0.172554782714832	0.519633837387887
f6e2bf3869898bd905df30099e4bec71	6	5	197	1940	0.944419059056149	0.181956943569606	5.06466787277761	1	1	2.17935227019634	1.19057689865391	0.0671750490182252	0.516316252672928
9bd5c483c8701fbcb95614d598436adb	2	2	39	230	0.783280609930878	0.0507961533627122	12.0700774055376	1	1	2.13378071783611	1.93943355223497	0.271241414071559	0.519633837387887
