	logFC	AveExpr	t	P.Value	adj.P.Val	B
0328a9e5c3a2c31c55d235a908703434	-1.81401230126618	8.20031851026986	-1.80353756660148	0.0765934911738283	0.181650779743336	-4.55399826966003
9330552170a4a2a2903277c74c6eddd7	-3.34011660934275	7.20905844758595	-4.9465227154611	7.03706756923332e-06	0.00129281132534231	3.62911616001182
3c3cb5c931a467ecbcc43800a1c85141	-0.552780853239904	7.83296428453124	-0.550084250946397	0.584412406730138	0.687582418197581	-5.96021786901629
04c4f62bf5fe0727d49b026537b624ef	-3.27115257833284	7.35512518457683	-4.8839893583285	8.80291521246082e-06	0.00129281132534231	3.4358432274722
200ffd63aeaa93813d2fa93e10ac8a9c	-1.73492074377925	6.97263522861638	-3.26253870535331	0.00186862753336087	0.0361580277057125	-1.62268220938317
338bb7d9991e214bbf60565dfe2a1973	-1.16224009057468	6.44064004258152	-2.2797946027816	0.0263839334605457	0.115279178149189	-4.07397771621202
15dad37d20a2a45710997baa02d5f8e4	-1.41405032324994	6.85107289213258	-2.37782940472294	0.0207938297852018	0.103758726532922	-3.78447470310876
4d132bf868808220a7cc8e1169158dea	-1.25501680701251	6.5286935148438	-2.3382565464154	0.0229085893094946	0.106267597105277	-3.93325334413667
fea9e199679036c9bcd796a24a81830a	-1.25860522143918	6.91912943326805	-2.17175639194502	0.0340526691895844	0.128983671426735	-4.19411740127754
50a94e3c8bbb8347addc8068156fb6f8	-2.88320366429275	7.46268364927867	-4.85329700990763	9.82192839766235e-06	0.00129281132534231	3.3413633789352
0fcf1c1d76b850337d79c6ff8f76c045	-1.39252856624892	6.53383011806374	-2.62963686784653	0.0109717142123785	0.082448993299577	-3.28629739218123
cf34df85adc7dda7f6d89b90bf12572e	-0.533017561365424	6.56511578396309	-1.05713728268032	0.294912064309411	0.403826272714967	-5.96791128871522
efc8869dc2575ccb11af605b2659e3e3	-0.886911083553035	6.39661330645037	-1.95803142813273	0.0551310493014357	0.157339861697085	-4.71229019793033
a7c6fc4735617ba0a13b6437ba9c4f3b	-1.1014809410694	6.41347410664624	-2.09793797455722	0.0403584757509913	0.133518165276557	-4.44487541435041
b0a3574c4492821c9175e36727c2be8c	-1.2648623741739	6.64687137085044	-2.314801264871	0.0242506848964745	0.110485956974044	-3.96190389369928
26ef3c79a722603a948675bd6c19c609	-1.00350368311854	6.46810836042582	-2.19461796916151	0.0322835287184305	0.126315453871801	-4.24348698325945
b21ea849fa275b4cefd611e72bae61a0	-0.960324168845618	6.49040152530898	-2.20386343914336	0.031591344732603	0.126048726126944	-4.22116821132333
02b2383ce3892d0422177fe43fa6f966	-2.8048166439075	6.87726027256586	-4.54798006813344	2.88045323894485e-05	0.00303311726060892	2.25911418574016
4c98471f6effefa7877c3f47547bfa86	-1.00310049560069	6.64092345959064	-2.32983791703723	0.0233824840378168	0.107518583807079	-3.92997778720233
b4f03ad5ca5004c5c0b183e0670b66a6	-0.968354054327247	6.38528947398056	-1.9443652380806	0.0567959174059162	0.157339861697085	-4.74003221258075
b08ccd28f303c6debf6e8ad3e39bd0a6	-0.677110651805938	6.46327155514883	-1.57180437953835	0.121534990098681	0.233756449194926	-5.34104318706664
